"","Anomaly Score"
"Image1","71.39501504968109"
"Image2","79.58410146501045"
"Image3","8.572304970043305"
"Image4","97.32165339691105"
"Image5","31.891899015032113"
"Image6","94.33152515393971"
"Image7","58.14302476390415"
"Image8","99.93191315169753"
"Image9","81.66123654384953"
"Image10","42.44407595597821"
"Image11","18.13035789150457"
"Image12","15.181275982126284"
"Image13","34.86229168175454"
"Image14","90.04678350314148"
"Image15","25.693897388522906"
"Image16","95.74365287367621"
"Image17","33.927414848424334"
"Image18","53.001589907113406"
"Image19","24.49441181989145"
"Image20","92.49776564140454"
"Image21","12.838281058941122"
"Image22","92.48477572154309"
"Image23","96.4070968707932"
"Image24","28.958064235006013"
"Image25","43.15236105723941"
"Image26","30.780785995677164"
"Image27","21.333201443847962"
"Image28","51.76438563726079"
"Image29","1.578835504361101"
"Image30","95.57293958207971"
"Image31","47.609513507908346"
"Image32","13.108398931975762"
"Image33","37.51996315175355"
"Image34","9.232103850930077"
"Image35","55.12929649013419"
"Image36","54.89854575207434"
"Image37","36.21347664630061"
"Image38","38.30196663627761"
"Image39","75.94977221334973"
"Image40","77.17706720326983"
"Image41","48.13001273676464"
"Image42","80.47691771877865"
"Image43","4.445512689027268"
"Image44","24.534454291249883"
"Image45","70.69526216551107"
"Image46","97.46558140235501"
"Image47","43.932253114097016"
"Image48","27.5110487077713"
"Image49","84.58868581786102"
"Image50","55.25960662360689"
"Image51","56.95118103989707"
"Image52","26.325108924390335"
"Image53","37.48275641235371"
"Image54","24.595430441380195"
"Image55","34.77481101364775"
"Image56","58.1847538380151"
"Image57","15.476746307178459"
"Image58","59.55821253223994"
"Image59","82.73560163958165"
"Image60","50.13687432419536"
"Image61","85.04089509141303"
"Image62","16.36651890968632"
"Image63","28.545092406902786"
"Image64","51.64658898640067"
"Image65","91.29953132618265"
"Image66","48.84715737672795"
"Image67","67.26026922032699"
"Image68","59.87893008851899"
"Image69","41.025379040089135"
"Image70","99.60864644957903"
"Image71","48.38794745213891"
"Image72","69.68683111505318"
"Image73","51.74715286267932"
"Image74","42.48973355780671"
"Image75","24.465242613805334"
"Image76","83.61030143246785"
"Image77","25.293563334930912"
"Image78","88.6808242531616"
"Image79","18.897095134563877"
"Image80","12.465508661812205"
"Image81","23.27433632843699"
"Image82","53.53470450592075"
"Image83","32.643013479958924"
"Image84","66.2098824958948"
"Image85","83.57292704095454"
"Image86","72.65183903554163"
"Image87","59.164443524524266"
"Image88","9.680408575646956"
"Image89","26.406177277502955"
"Image90","57.13460827304626"
"Image91","5.856707540005843"
"Image92","78.76559796885057"
"Image93","72.49566601338897"
"Image94","84.0700156837778"
"Image95","17.780837567171023"
"Image96","1.7812584879898792"
"Image97","55.071057444300244"
"Image98","84.80205030131141"
"Image99","4.969527928507507"
"Image100","68.13327238048858"
"Image101","86.42944915512491"
"Image102","1.3722238096098271"
"Image103","47.914051275724475"
"Image104","94.22158748101516"
"Image105","31.62150856907578"
"Image106","98.03253718780813"
"Image107","47.98590381409431"
"Image108","94.83322269653638"
"Image109","36.84316738587132"
"Image110","71.0483156538332"
"Image111","39.29692071033683"
"Image112","80.05348564810511"
"Image113","36.826546142519256"
"Image114","78.9013653962393"
"Image115","48.0940915695594"
"Image116","44.0007864130248"
"Image117","1.5371162342463416"
"Image118","15.559548132931374"
"Image119","90.25661038961792"
"Image120","13.813450567027129"
"Image121","5.098295852056305"
"Image122","70.46565935924887"
"Image123","20.836714102869667"
"Image124","39.84674848527889"
"Image125","35.33842356438093"
"Image126","62.418590097325904"
"Image127","48.76644993785002"
"Image128","77.79172343373934"
"Image129","73.29878814778503"
"Image130","72.20540766712814"
"Image131","66.73101835949994"
"Image132","57.36469558814868"
"Image133","9.736802588481346"
"Image134","60.94027312746865"
"Image135","86.80243357136943"
"Image136","79.17739850573916"
"Image137","86.8407596539601"
"Image138","94.88383072782132"
"Image139","33.49684299514217"
"Image140","64.85231455290244"
"Image141","4.929851094258975"
"Image142","34.816681502747706"
"Image143","18.041192265736694"
"Image144","90.11921962831734"
"Image145","54.70792446780667"
"Image146","70.9338162010764"
"Image147","15.427486869555578"
"Image148","50.24009891803796"
"Image149","50.07075893470724"
"Image150","24.79369971376217"
"Image151","28.787156092522643"
"Image152","4.443557776069913"
"Image153","24.575944507621447"
"Image154","89.15875361596947"
"Image155","92.16545788414801"
"Image156","58.62216438641204"
"Image157","84.88998133536136"
"Image158","18.138160544502192"
"Image159","62.51006069761331"
"Image160","59.91255723534427"
"Image161","87.51992092442829"
"Image162","52.75191433597873"
"Image163","11.72646357227345"
"Image164","86.92463975581168"
"Image165","2.3259929500941086"
"Image166","83.43059938544837"
"Image167","74.0684202533609"
"Image168","32.62473686600367"
"Image169","89.43916779302816"
"Image170","49.571262741677025"
"Image171","88.37811354225175"
"Image172","61.192532399351606"
"Image173","36.1662971318257"
"Image174","90.61742838183152"
"Image175","21.80646813377635"
"Image176","24.013237796526017"
"Image177","43.49110182324114"
"Image178","95.43132673023877"
"Image179","53.788193825828124"
"Image180","24.319776337475776"
"Image181","75.6664859306512"
"Image182","34.38157552771242"
"Image183","67.34542341342016"
"Image184","58.70196318250031"
"Image185","5.846189790916712"
"Image186","85.95426970416365"
"Image187","6.27988851700652"
"Image188","1.7340067394877035"
"Image189","93.84048602847709"
"Image190","81.75694187134113"
"Image191","55.19008582504521"
"Image192","55.38138619384458"
"Image193","88.13581021256334"
"Image194","16.68910964590753"
"Image195","1.4563804089949441"
"Image196","14.869390721214462"
"Image197","59.6221378505427"
"Image198","77.23113107853186"
"Image199","26.699675696993577"
"Image200","58.40950504778326"
"Image201","56.51124286374377"
"Image202","93.84465344198536"
"Image203","66.03210173714187"
"Image204","36.48687647185921"
"Image205","49.256612344129685"
"Image206","33.04082594431809"
"Image207","53.78078945186408"
"Image208","36.9988965919665"
"Image209","58.7487810339123"
"Image210","50.14867596633771"
"Image211","91.64214900822374"
"Image212","54.419581353199106"
"Image213","9.302553634509348"
"Image214","36.03336192376112"
"Image215","12.994238101833718"
"Image216","80.7916467715039"
"Image217","85.35116898666986"
"Image218","95.15312478772971"
"Image219","24.758818607612845"
"Image220","22.43625478864297"
"Image221","1.8962134104285107"
"Image222","69.80622907429748"
"Image223","83.047563386879"
"Image224","70.56773384314975"
"Image225","88.63909548301308"
"Image226","54.71157442698376"
"Image227","64.49280390649521"
"Image228","62.582615723293785"
"Image229","53.88214801573812"
"Image230","54.83301009152116"
"Image231","39.922100962479696"
"Image232","8.52687707158919"
"Image233","54.318631848685214"
"Image234","96.38383104451127"
"Image235","55.50479910671447"
"Image236","22.39342185849429"
"Image237","95.88565989091558"
"Image238","72.26356670353456"
"Image239","21.79027820546955"
"Image240","15.525289426397514"
"Image241","50.19424247338071"
"Image242","67.43539408555291"
"Image243","28.438458137846812"
"Image244","43.50928897319126"
"Image245","67.00152101217547"
"Image246","6.574935223682958"
"Image247","44.74269645015915"
"Image248","30.27410990316846"
"Image249","53.992232383858976"
"Image250","51.122148781884576"
"Image251","48.41199525346565"
"Image252","18.590186586955227"
"Image253","28.229918922239474"
"Image254","85.85772616486632"
"Image255","74.4675409504819"
"Image256","27.88719064032942"
"Image257","73.09923036212714"
"Image258","39.23645463031349"
"Image259","96.6363460435261"
"Image260","31.046118853915637"
"Image261","75.47608251583024"
"Image262","81.54494891956624"
"Image263","9.318236447768616"
"Image264","48.311272482571134"
"Image265","88.75765191898307"
"Image266","4.915418365440679"
"Image267","85.0499947907555"
"Image268","77.92549555428907"
"Image269","59.60536817012165"
"Image270","2.57146092023898"
"Image271","71.5891720660962"
"Image272","74.48325035233484"
"Image273","66.80659870916323"
"Image274","98.83976470785116"
"Image275","75.39132448750308"
"Image276","71.49409538778055"
"Image277","52.08302629888064"
"Image278","29.100999011320397"
"Image279","18.480584269378816"
"Image280","9.708562548208675"
"Image281","47.69463215787417"
"Image282","27.0199215875492"
"Image283","55.64619016226969"
"Image284","34.796301351574215"
"Image285","24.600960137104405"
"Image286","94.25714704194681"
"Image287","86.70830615911288"
"Image288","55.38730130731551"
"Image289","79.13055820796932"
"Image290","86.7113153540807"
"Image291","85.58033764173376"
"Image292","11.201098187450324"
"Image293","94.32340855534972"
"Image294","52.153024353801094"
"Image295","97.92157768973706"
"Image296","21.576298169830178"
"Image297","3.656312069480265"
"Image298","70.47867243688016"
"Image299","86.46983748545374"
"Image300","59.25184744808836"
"Image301","38.02677206682859"
"Image302","10.710264371732451"
"Image303","28.16400474589623"
"Image304","38.232356952013"
"Image305","48.642466367828284"
"Image306","17.26890040239803"
"Image307","32.94986816632355"
"Image308","11.051721706506207"
"Image309","26.610750480571994"
"Image310","42.84417976515038"
"Image311","7.126577976608554"
"Image312","33.89106674507641"
"Image313","77.35421171858982"
"Image314","93.02715227553956"
"Image315","85.5911511448522"
"Image316","12.93945232695106"
"Image317","81.00719796708059"
"Image318","73.47720854233296"
"Image319","59.80781834612594"
"Image320","22.27807970404334"
"Image321","16.806957518475116"
"Image322","41.49258937379079"
"Image323","23.47910615259196"
"Image324","29.624007001237473"
"Image325","57.51568453397083"
"Image326","85.08817535953429"
"Image327","31.418936279338084"
"Image328","80.1211948635064"
"Image329","61.467685455222714"
"Image330","40.71630810441636"
"Image331","79.9238357122839"
"Image332","77.6979941723723"
"Image333","20.479640191820053"
"Image334","48.91350501949124"
"Image335","53.81952515422691"
"Image336","29.171346205459066"
"Image337","55.4827841614856"
"Image338","61.349163065523285"
"Image339","82.96694467100637"
"Image340","34.581025115093404"
"Image341","77.76013788740032"
"Image342","91.96092861841812"
"Image343","52.33591619892266"
"Image344","27.870330722038187"
"Image345","57.01631341549474"
"Image346","8.261318236566783"
"Image347","77.52893773656926"
"Image348","22.805037944926884"
"Image349","95.59720844024115"
"Image350","63.936606580795555"
"Image351","79.78158654636535"
"Image352","87.01377931832997"
"Image353","71.85943880333252"
"Image354","46.928464058369315"
"Image355","49.55480994539801"
"Image356","55.009569499099705"
"Image357","2.5965568907936385"
"Image358","86.08493553397871"
"Image359","3.0459219326296494"
"Image360","15.815154770898108"
"Image361","50.7863108233914"
"Image362","41.91601883730921"
"Image363","86.38861041306119"
"Image364","64.64929733944076"
"Image365","1.0909554655159832"
"Image366","83.43084664731082"
"Image367","77.93892616744398"
"Image368","77.52385815620443"
"Image369","35.39468148480816"
"Image370","58.19919328355586"
"Image371","80.0672729719631"
"Image372","10.122803021847503"
"Image373","86.51290600288486"
"Image374","33.2482673757119"
"Image375","88.05133650931994"
"Image376","99.89571095859387"
"Image377","62.78308036346882"
"Image378","68.53152043021979"
"Image379","68.98951398017236"
"Image380","71.3467896085964"
"Image381","28.512494681995932"
"Image382","55.00833369775204"
"Image383","27.895727193865774"
"Image384","99.50860448102046"
"Image385","77.84244377029837"
"Image386","44.89697392524762"
"Image387","93.00811076943053"
"Image388","43.001989430227376"
"Image389","27.360497529868223"
"Image390","57.99002311810663"
"Image391","24.37709448757789"
"Image392","98.3555354506614"
"Image393","68.75866828149961"
"Image394","24.23245419037189"
"Image395","44.25627075465395"
"Image396","68.15997715577325"
"Image397","12.374909621050026"
"Image398","36.9077860044118"
"Image399","99.58607270645372"
"Image400","99.35155072384529"
"Image401","18.566848928148467"
"Image402","80.69655577434321"
"Image403","81.03814588443898"
"Image404","79.80367886109711"
"Image405","18.522130227561323"
"Image406","42.68166978220801"
"Image407","13.532483696534413"
"Image408","45.00671400356066"
"Image409","26.88448067924139"
"Image410","74.89410654331793"
"Image411","48.28304520832215"
"Image412","27.92973096483773"
"Image413","7.13797628453592"
"Image414","91.78581500212923"
"Image415","71.01834137796038"
"Image416","52.754838905182865"
"Image417","20.48336788510721"
"Image418","32.82538031754652"
"Image419","15.539033881292154"
"Image420","4.121048562912302"
"Image421","15.300823599614755"
"Image422","24.28663443316895"
"Image423","6.771537483494211"
"Image424","90.8096337644085"
"Image425","51.89733177345316"
"Image426","88.91905173768218"
"Image427","37.52720698200147"
"Image428","26.905008061670724"
"Image429","59.08016914799932"
"Image430","2.004279929726269"
"Image431","58.08383301717267"
"Image432","72.63899432621461"
"Image433","24.724686142633338"
"Image434","6.592964141078633"
"Image435","11.779723300765342"
"Image436","12.0019677794009"
"Image437","94.03475561735942"
"Image438","32.14637244198114"
"Image439","13.161706470706937"
"Image440","67.32850440680126"
"Image441","76.36626475753567"
"Image442","5.589692149415103"
"Image443","97.04491107156254"
"Image444","41.221937392218685"
"Image445","47.20173513235135"
"Image446","51.02857421050716"
"Image447","97.93520121380936"
"Image448","22.14001649158983"
"Image449","28.676202000590877"
"Image450","13.827682750504968"
"Image451","28.990604430877564"
"Image452","36.24207494858939"
"Image453","43.465852191573305"
"Image454","47.78187711775919"
"Image455","85.37572038283862"
"Image456","40.9722090670487"
"Image457","87.23485927650786"
"Image458","23.97705493503414"
"Image459","3.8085474174380907"
"Image460","39.774805980707754"
"Image461","79.99843738451925"
"Image462","66.9218741231697"
"Image463","22.160086599184197"
"Image464","53.64734799795473"
"Image465","86.2988552661475"
"Image466","39.994308432683155"
"Image467","1.6335072998474671"
"Image468","5.172701529083993"
"Image469","87.22397397108008"
"Image470","70.16289973106834"
"Image471","58.306547065413966"
"Image472","6.551212653862313"
"Image473","64.10656865778262"
"Image474","33.93588617762497"
"Image475","6.396906197346572"
"Image476","45.62604163068199"
"Image477","78.5899748960459"
"Image478","78.46381964074997"
"Image479","27.35374653992632"
"Image480","66.981754123792"
"Image481","32.746526215757015"
"Image482","27.685051131961096"
"Image483","81.79065006656253"
"Image484","38.826143924023214"
"Image485","80.58956764946674"
"Image486","31.488067511671247"
"Image487","47.46368876390579"
"Image488","1.953116493344846"
"Image489","21.03844259846798"
"Image490","43.98700163127314"
"Image491","30.537804578795992"
"Image492","13.791310630972486"
"Image493","99.26832916069641"
"Image494","11.672546492100448"
"Image495","25.561221753386345"
"Image496","31.76077281587662"
"Image497","42.76309921849275"
"Image498","29.068771756020816"
"Image499","89.10974631866527"
"Image500","35.210783635139094"
"Image501","8.678505131479227"
"Image502","96.59327044172963"
"Image503","10.086618038478246"
"Image504","96.94876162530302"
"Image505","3.213058286679775"
"Image506","27.174170072461944"
"Image507","73.4105197400675"
"Image508","33.072361943830636"
"Image509","29.69994251587743"
"Image510","83.41943560509829"
"Image511","31.721861205293685"
"Image512","55.765364463436704"
"Image513","66.04768767925012"
"Image514","19.704877372491"
"Image515","7.222944432981957"
"Image516","60.94454805128429"
"Image517","15.341142271956608"
"Image518","31.98129026934592"
"Image519","65.09802569899219"
"Image520","79.00028610001044"
"Image521","32.94349447103821"
"Image522","45.70148340888437"
"Image523","95.5463913210495"
"Image524","90.48840942200853"
"Image525","84.30112135859706"
"Image526","22.71569061785827"
"Image527","44.51355284599419"
"Image528","44.742358312323674"
"Image529","12.423666020670915"
"Image530","81.40849940759827"
"Image531","68.39607964343402"
"Image532","70.04176345190767"
"Image533","49.81263868688058"
"Image534","54.767559589508345"
"Image535","70.41520803310242"
"Image536","88.98807582443837"
